face-name,picture,file,category,series
Inside The Machine,Inside-the-Machine-500x500-1.png,krdufgjhcvmiwtzd.watchface,N/A,3+
Minimal weather,Minimal-Weather-500x500-1.png,j3ja294r1n0r2c6e.watchface,N/A,4+
